ID,#,NAME,UNCONSTRAINED,MIRIAM,COMPOSITION,InChI,COMPARTMENT,REPLACEMENT ID,CHARGE,old,RetiredID,hmdb,kegg.compound,pubchem.compound,obo.chebi:CHEBI,lipidmaps,metSBOTerms
Methionyl-Glutaminyl-Tyrosine[s],,Methionyl-Glutaminyl-Tyrosine,,,,"1S/C19H28N4O6S/c1-30-9-8-13(20)17(26)22-14(6-7-16(21)25)18(27)23-15(19(28)29)10-11-2-4-12(24)5-3-11/h2-5,13-15,24H,6-10,20H2,1H3,(H2,21,25)(H,22,26)(H,23,27)(H,28,29)/t13-,14-,15-/m0/s1",s,MMRNM3099s,0.0,Cx2681,Cx2681[s],,,,,,
Methionyl-Glycyl-Arginine[c],,Methionyl-Glycyl-Arginine,,,,"1/C13H26N6O4S/c1-24-6-4-8(14)11(21)18-7-10(20)19-9(12(22)23)3-2-5-17-13(15)16/h8-9H,2-7,14H2,1H3,(H,18,21)(H,19,20)(H,22,23)(H4,15,16,17)/p+1/t8-,9-/s2",c,MMRNM3100c,1.0,Cx2682,Cx2682[c],,,,,,
Methionyl-Glycyl-Arginine[s],,Methionyl-Glycyl-Arginine,,,,"1/C13H26N6O4S/c1-24-6-4-8(14)11(21)18-7-10(20)19-9(12(22)23)3-2-5-17-13(15)16/h8-9H,2-7,14H2,1H3,(H,18,21)(H,19,20)(H,22,23)(H4,15,16,17)/p+1/t8-,9-/s2",s,MMRNM3100s,1.0,Cx2682,Cx2682[s],,,,,,
Methionyl-Histidyl-Lysine[c],,Methionyl-Histidyl-Lysine,,,,"1/C17H30N6O4S/c1-28-7-5-12(19)15(24)23-14(8-11-9-20-10-21-11)16(25)22-13(17(26)27)4-2-3-6-18/h9-10,12-14H,2-8,18-19H2,1H3,(H,20,21)(H,22,25)(H,23,24)(H,26,27)/p+1/t12-,13-,14+/s2",c,MMRNM3101c,1.0,Cx2683,Cx2683[c],,,,,,
Methionyl-Histidyl-Lysine[s],,Methionyl-Histidyl-Lysine,,,,"1/C17H30N6O4S/c1-28-7-5-12(19)15(24)23-14(8-11-9-20-10-21-11)16(25)22-13(17(26)27)4-2-3-6-18/h9-10,12-14H,2-8,18-19H2,1H3,(H,20,21)(H,22,25)(H,23,24)(H,26,27)/p+1/t12-,13-,14+/s2",s,MMRNM3101s,1.0,Cx2683,Cx2683[s],,,,,,
Methionyl-Methionyl-Isoleucine[c],,Methionyl-Methionyl-Isoleucine,,,C16H31N3O4S2,,c,MMRNM3102c,0.0,Cx2686,Cx2686[c],,,,,,
Methionyl-Methionyl-Isoleucine[s],,Methionyl-Methionyl-Isoleucine,,,C16H31N3O4S2,,s,MMRNM3102s,0.0,Cx2686,Cx2686[s],,,,,,
methionyl-peptide[c],,methionyl-peptide,,kegg.compound/C11440;vmhmetabolite/M02472;metanetx.chemical/MNXM93585;sbo/SBO:0000247,C11H17N4O5SR3,,c,MMRNM3103c,,C11440,C11440[c],,C11440,,,,SBO:0000247
Methionyl-Phenylalanyl-Arginine[c],,Methionyl-Phenylalanyl-Arginine,,,,"1/C20H32N6O4S/c1-31-11-9-14(21)17(27)26-16(12-13-6-3-2-4-7-13)18(28)25-15(19(29)30)8-5-10-24-20(22)23/h2-4,6-7,14-16H,5,8-12,21H2,1H3,(H,25,28)(H,26,27)(H,29,30)(H4,22,23,24)/p+1/t14-,15-,16+/s2",c,MMRNM3104c,1.0,Cx2687,Cx2687[c],,,,,,
Methionyl-Phenylalanyl-Arginine[s],,Methionyl-Phenylalanyl-Arginine,,,,"1/C20H32N6O4S/c1-31-11-9-14(21)17(27)26-16(12-13-6-3-2-4-7-13)18(28)25-15(19(29)30)8-5-10-24-20(22)23/h2-4,6-7,14-16H,5,8-12,21H2,1H3,(H,25,28)(H,26,27)(H,29,30)(H4,22,23,24)/p+1/t14-,15-,16+/s2",s,MMRNM3104s,1.0,Cx2687,Cx2687[s],,,,,,
Methionyl-Tryptophanyl-Phenylalanine[c],,Methionyl-Tryptophanyl-Phenylalanine,,,,"1/C25H30N4O4S/c1-34-12-11-19(26)23(30)28-21(14-17-15-27-20-10-6-5-9-18(17)20)24(31)29-22(25(32)33)13-16-7-3-2-4-8-16/h2-10,15,19,21-22,27H,11-14,26H2,1H3,(H,28,30)(H,29,31)(H,32,33)/t19-,21+,22-/s2",c,MMRNM3105c,0.0,Cx2688,Cx2688[c],,,,,,
Methionyl-Tryptophanyl-Phenylalanine[s],,Methionyl-Tryptophanyl-Phenylalanine,,,,"1/C25H30N4O4S/c1-34-12-11-19(26)23(30)28-21(14-17-15-27-20-10-6-5-9-18(17)20)24(31)29-22(25(32)33)13-16-7-3-2-4-8-16/h2-10,15,19,21-22,27H,11-14,26H2,1H3,(H,28,30)(H,29,31)(H,32,33)/t19-,21+,22-/s2",s,MMRNM3105s,0.0,Cx2688,Cx2688[s],,,,,,
Methyl-hydroxy-gliclazide[r],,Methyl-hydroxy-gliclazide,,,C15H20N3O4S,,r,MMRNM3106r,-1.0,Cx2690,Cx2690[r],,,,,,
methyl-indole-3-acetate[c],,methyl-indole-3-acetate,,,C11H11NO2,,c,MMRNM3107c,,Cx1222,Cx1222[c],,,,,,
methylamine[c],,methylamine,,bigg.metabolite/mma;kegg.compound/C00218;hmdb/HMDB00164;chebi/CHEBI:16830;pubchem.compound/6329;vmhmetabolite/mma;metanetx.chemical/MNXM61773;sbo/SBO:0000247,CH5N,,c,MMRNM3108c,,C00218,C00218[c],HMDB00164,C00218,6329,CHEBI:16830,,SBO:0000247
Methylammonium[s],,Methylammonium,,bigg.metabolite/mma;kegg.compound/C00218;hmdb/HMDB00164;chebi/CHEBI:16830;pubchem.compound/6329;vmhmetabolite/mma;metanetx.chemical/MNXM61773;sbo/SBO:0000247,,"1S/CH5N/c1-2/h2H2,1H3/p+1",s,MMRNM3109s,1.0,C00218,C00218[s],HMDB00164,C00218,6329,CHEBI:16830,,SBO:0000247
methylarsonate[c],,methylarsonate,,kegg.compound/C07294;vmhmetabolite/M02474;metanetx.chemical/MNXM2131;sbo/SBO:0000247,CH5AsO3,,c,MMRNM3110c,,C07294,C07294[c],,C07294,,,,SBO:0000247
methylglyoxal[c],,methylglyoxal,,bigg.metabolite/mthgxl;kegg.compound/C00546;chebi/CHEBI:17158;pubchem.compound/880;vmhmetabolite/mthgxl;metanetx.chemical/MNXM310;sbo/SBO:0000247,C3H4O2,,c,MMRNM3111c,,C00546,C00546[c],,C00546,880,CHEBI:17158,,SBO:0000247
methylglyoxal[s],,methylglyoxal,,bigg.metabolite/mthgxl;kegg.compound/C00546;chebi/CHEBI:17158;pubchem.compound/880;vmhmetabolite/mthgxl;metanetx.chemical/MNXM310;sbo/SBO:0000247,C3H4O2,,s,MMRNM3111s,,C00546,C00546[s],,C00546,880,CHEBI:17158,,SBO:0000247
methylimidazole-acetaldehyde[c],,methylimidazole-acetaldehyde,,bigg.metabolite/3mldz;kegg.compound/C05827;chebi/CHEBI:28104;pubchem.compound/193545;vmhmetabolite/3mldz;metanetx.chemical/MNXM147791;metanetx.chemical/MNXM5416;sbo/SBO:0000247,C6H8N2O,,c,MMRNM3112c,,C05827,C05827[c],,C05827,193545,CHEBI:28104,,SBO:0000247
methylimidazoleacetic acid[c],,methylimidazoleacetic acid,,bigg.metabolite/3mlda;kegg.compound/C05828;hmdb/HMDB02820;chebi/CHEBI:8122;pubchem.compound/75810;vmhmetabolite/3mlda;metanetx.chemical/MNXM164040;metanetx.chemical/MNXM91418;sbo/SBO:0000247,C6H8N2O2,,c,MMRNM3113c,,C05828,C05828[c],HMDB02820,C05828,75810,CHEBI:8122,,SBO:0000247
methylimidazoleacetic acid[s],,methylimidazoleacetic acid,,bigg.metabolite/3mlda;kegg.compound/C05828;hmdb/HMDB02820;chebi/CHEBI:8122;pubchem.compound/75810;vmhmetabolite/3mlda;metanetx.chemical/MNXM164040;metanetx.chemical/MNXM91418;sbo/SBO:0000247,C6H8N2O2,,s,MMRNM3113s,,C05828,C05828[s],HMDB02820,C05828,75810,CHEBI:8122,,SBO:0000247
methylmalonate[c],,methylmalonate,,kegg.compound/C02170;hmdb/HMDB00202;chebi/CHEBI:30860;pubchem.compound/487;vmhmetabolite/HC00900;metanetx.chemical/MNXM1572;sbo/SBO:0000247,C4H6O4,,c,MMRNM3114c,,C02170,C02170[c],HMDB00202,C02170,487,CHEBI:30860,,SBO:0000247
methylmalonate[m],,methylmalonate,,kegg.compound/C02170;hmdb/HMDB00202;chebi/CHEBI:30860;pubchem.compound/487;vmhmetabolite/HC00900;metanetx.chemical/MNXM1572;sbo/SBO:0000247,C4H6O4,,m,MMRNM3114m,,C02170,C02170[m],HMDB00202,C02170,487,CHEBI:30860,,SBO:0000247
methylmalonyl-CoA[m],,methylmalonyl-CoA,,bigg.metabolite/mmcoa__S;kegg.compound/C00683;chebi/CHEBI:15466;pubchem.compound/21252287;vmhmetabolite/mmcoa_S;metanetx.chemical/MNXM608;metanetx.chemical/MNXM89955;sbo/SBO:0000247,C25H40N7O19P3S,,m,MMRNM3115m,,C00683,C00683[m],,C00683,21252287,CHEBI:15466,,SBO:0000247
methylthioribose-1p[c],,methylthioribose-1p,,bigg.metabolite/5mdr1p;kegg.compound/C04188;pubchem.compound/53477720;vmhmetabolite/5mdr1p;metanetx.chemical/MNXM407;sbo/SBO:0000247,C6H13O7PS,,c,MMRNM3116c,,C04188,C04188[c],,C04188,53477720,,,SBO:0000247
mgacpail heparan sulfate[r],,mgacpail heparan sulfate,,,C39H68NO23PR3,,r,MMRNM3117r,,Cx1223,Cx1223[r],,,,,,
Midazolam[c],,Midazolam,,,C18H13ClFN3,,c,MMRNM3118c,0.0,Cx2674,Cx2674[c],,,,,,
Midazolam[r],,Midazolam,,,C18H13ClFN3,,r,MMRNM3118r,0.0,Cx2674,Cx2674[r],,,,,,
Midazolam[s],,Midazolam,,,C18H13ClFN3,,s,MMRNM3118s,0.0,Cx2674,Cx2674[s],,,,,,
mitoACP_[m],,mitoACP_,,kegg.compound/C03688;lipidmaps/PROTEIN;vmhmetabolite/HC01161;metanetx.chemical/MNXM2214;sbo/SBO:0000247,,,m,MMRNM3119m,,C03688,C03688[m],,C03688,,,PROTEIN,SBO:0000247
mitoApo-[ACP]_[c],,mitoApo-[ACP]_,,,,,c,MMRNM3120c,,C03688_40,C03688_40[c],,,,,,
mitoApo-[ACP]_[m],,mitoApo-[ACP]_,,,,,m,MMRNM3120m,,C03688_40,C03688_40[m],,,,,,
molybdopterin[c],,molybdopterin,,kegg.compound/C05924;chebi/CHEBI:44074;vmhmetabolite/M02488;metanetx.chemical/MNXM1193;sbo/SBO:0000247,C10H14N5O6PS2,,c,MMRNM3121c,,C05924,C05924[c],,C05924,,CHEBI:44074,,SBO:0000247
monodehydroascorbate[c],,monodehydroascorbate,,kegg.compound/C01041;chebi/CHEBI:16504;pubchem.compound/439374;vmhmetabolite/C01041;metanetx.chemical/MNXM1844;sbo/SBO:0000247,C6H7O6,,c,MMRNM3122c,,C01041,C01041[c],,C01041,439374,CHEBI:16504,,SBO:0000247
monofucosyllactoisooctaosylceramide[c],,monofucosyllactoisooctaosylceramide,,kegg.compound/G04561;vmhmetabolite/M02490;metanetx.chemical/MNXM43842;sbo/SBO:0000247,(Gal)4(Glc)1(GlcNAc)3(LFuc)1(Cer)1,,c,MMRNM3123c,,G04561,G04561[c],,G04561,,,,SBO:0000247
monosialylgalactosylgloboside[c],,monosialylgalactosylgloboside,,kegg.compound/G00098;vmhmetabolite/M02491;metanetx.chemical/MNXM13384;sbo/SBO:0000247,(Gal)3(GalNAc)1(Glc)1(Neu5Ac)1(Cer)1,,c,MMRNM3124c,,G00098,G00098[c],,G00098,,,,SBO:0000247
myo-inositol-hexakisphosphate[c],,myo-inositol-hexakisphosphate,,bigg.metabolite/minohp;kegg.compound/C01204;chebi/CHEBI:17401;pubchem.compound/890;vmhmetabolite/minohp;metanetx.chemical/MNXM491;sbo/SBO:0000247,C6H18O24P6,,c,MMRNM3125c,,C01204,C01204[c],,C01204,890,CHEBI:17401,,SBO:0000247
myo-inositol-hexakisphosphate[n],,myo-inositol-hexakisphosphate,,bigg.metabolite/minohp;kegg.compound/C01204;chebi/CHEBI:17401;pubchem.compound/890;vmhmetabolite/minohp;metanetx.chemical/MNXM491;sbo/SBO:0000247,C6H18O24P6,,n,MMRNM3125n,,C01204,C01204[n],,C01204,890,CHEBI:17401,,SBO:0000247
myo-inositol-polyphosphate_[c],,myo-inositol-polyphosphate_,,kegg.compound/C11525;vmhmetabolite/M02493;metanetx.chemical/MNXM8890;sbo/SBO:0000247,,,c,MMRNM3126c,,C11525,C11525[c],,C11525,,,,SBO:0000247
myristic acid[c],,myristic acid,,bigg.metabolite/ttdca;kegg.compound/C06424;hmdb/HMDB00806;chebi/CHEBI:28875;pubchem.compound/11005;lipidmaps/LMFA01010014;vmhmetabolite/ttdca;metanetx.chemical/MNXM162239;metanetx.chemical/MNXM314;sbo/SBO:0000247,C14H28O2,,c,MMRNM3127c,,C06424,C06424[c],HMDB00806,C06424,11005,CHEBI:28875,LMFA01010014,SBO:0000247
myristic acid[l],,myristic acid,,bigg.metabolite/ttdca;kegg.compound/C06424;hmdb/HMDB00806;chebi/CHEBI:28875;pubchem.compound/11005;lipidmaps/LMFA01010014;vmhmetabolite/ttdca;metanetx.chemical/MNXM162239;metanetx.chemical/MNXM314;sbo/SBO:0000247,C14H28O2,,l,MMRNM3127l,,C06424,C06424[l],HMDB00806,C06424,11005,CHEBI:28875,LMFA01010014,SBO:0000247
myristic acid[r],,myristic acid,,bigg.metabolite/ttdca;kegg.compound/C06424;hmdb/HMDB00806;chebi/CHEBI:28875;pubchem.compound/11005;lipidmaps/LMFA01010014;vmhmetabolite/ttdca;metanetx.chemical/MNXM162239;metanetx.chemical/MNXM314;sbo/SBO:0000247,C14H28O2,,r,MMRNM3127r,,C06424,C06424[r],HMDB00806,C06424,11005,CHEBI:28875,LMFA01010014,SBO:0000247
myristic acid[s],,myristic acid,,bigg.metabolite/ttdca;kegg.compound/C06424;hmdb/HMDB00806;chebi/CHEBI:28875;pubchem.compound/11005;lipidmaps/LMFA01010014;vmhmetabolite/ttdca;metanetx.chemical/MNXM162239;metanetx.chemical/MNXM314;sbo/SBO:0000247,C14H28O2,,s,MMRNM3127s,,C06424,C06424[s],HMDB00806,C06424,11005,CHEBI:28875,LMFA01010014,SBO:0000247
myristoyl-CoA[c],,myristoyl-CoA,,bigg.metabolite/tdcoa;kegg.compound/C02593;hmdb/HMDB01521;chebi/CHEBI:15532;pubchem.compound/65113;lipidmaps/LMFA07050008;vmhmetabolite/tdcoa;metanetx.chemical/MNXM224;sbo/SBO:0000247,C35H62N7O17P3S,,c,MMRNM3128c,,C02593,C02593[c],HMDB01521,C02593,65113,CHEBI:15532,LMFA07050008,SBO:0000247
myristoyl-CoA[m],,myristoyl-CoA,,bigg.metabolite/tdcoa;kegg.compound/C02593;hmdb/HMDB01521;chebi/CHEBI:15532;pubchem.compound/65113;lipidmaps/LMFA07050008;vmhmetabolite/tdcoa;metanetx.chemical/MNXM224;sbo/SBO:0000247,C35H62N7O17P3S,,m,MMRNM3128m,,C02593,C02593[m],HMDB01521,C02593,65113,CHEBI:15532,LMFA07050008,SBO:0000247
myristoyl-CoA[p],,myristoyl-CoA,,bigg.metabolite/tdcoa;kegg.compound/C02593;hmdb/HMDB01521;chebi/CHEBI:15532;pubchem.compound/65113;lipidmaps/LMFA07050008;vmhmetabolite/tdcoa;metanetx.chemical/MNXM224;sbo/SBO:0000247,C35H62N7O17P3S,,p,MMRNM3128p,,C02593,C02593[p],HMDB01521,C02593,65113,CHEBI:15532,LMFA07050008,SBO:0000247
myristoyl-CoA[r],,myristoyl-CoA,,bigg.metabolite/tdcoa;kegg.compound/C02593;hmdb/HMDB01521;chebi/CHEBI:15532;pubchem.compound/65113;lipidmaps/LMFA07050008;vmhmetabolite/tdcoa;metanetx.chemical/MNXM224;sbo/SBO:0000247,C35H62N7O17P3S,,r,MMRNM3128r,,C02593,C02593[r],HMDB01521,C02593,65113,CHEBI:15532,LMFA07050008,SBO:0000247
N-(omega)-hydroxyarginine[c],,N-(omega)-hydroxyarginine,,bigg.metabolite/nwharg;kegg.compound/C05933;chebi/CHEBI:7101;pubchem.compound/440849;vmhmetabolite/nwharg;metanetx.chemical/MNXM92470;sbo/SBO:0000247,C6H14N4O3,,c,MMRNM3129c,,C05933,C05933[c],,C05933,440849,CHEBI:7101,,SBO:0000247
N-acetyl-5-methoxykynuramine[c],,N-acetyl-5-methoxykynuramine,,,C12H16N2O3,,c,MMRNM3130c,,Cx1232,Cx1232[c],,,,,,
N-Acetyl-Beta-D-Galactosaminyl-(1->4)-[Alpha-N-Acetylneuraminosyl-(2->3)]-Beta-D-Galactosyl-Beta-D-Glucosyl-(1<->1)-Ceramide Anion[s],,N-Acetyl-Beta-D-Galactosaminyl-(1->4)-[Alpha-N-Acetylneuraminosyl-(2->3)]-Beta-D-Galactosyl-Beta-D-Glucosyl-(1<->1)-Ceramide Anion,,bigg.metabolite/gm2_hs;kegg.compound/C04884;hmdb/HMDB04936;chebi/CHEBI:51013;pubchem.compound/20057332;lipidmaps/LMSP0601AM00;vmhmetabolite/HC02160;metanetx.chemical/MNXM164819;sbo/SBO:0000247,C49H85N3O25FULLRCO,,s,MMRNM3131s,-1.0,C04884,C04884[s],HMDB04936,C04884,20057332,CHEBI:51013,LMSP0601AM00,SBO:0000247
N-acetyl-beta-D-glucosaminylamine[c],,N-acetyl-beta-D-glucosaminylamine,,kegg.compound/C01239;chebi/CHEBI:15947;vmhmetabolite/M02521;metanetx.chemical/MNXM3313;sbo/SBO:0000247,C8H16N2O5,,c,MMRNM3132c,,C01239,C01239[c],,C01239,,CHEBI:15947,,SBO:0000247
N-acetyl-D-glucosaminyldiphosphodolichol[c],,N-acetyl-D-glucosaminyldiphosphodolichol,,bigg.metabolite/naglc2p__L;kegg.compound/C04500;chebi/G00001;vmhmetabolite/naglc2p_L;metanetx.chemical/MNXM148369;sbo/SBO:0000247,C28H51NO12P2(C5H8)n,,c,MMRNM3133c,,C04500,C04500[c],,C04500,,G00001,,SBO:0000247
N-acetyl-D-glucosaminylphosphatidylinositol[c],,N-acetyl-D-glucosaminylphosphatidylinositol,,bigg.metabolite/acgpail_hs;kegg.compound/C01288;chebi/CHEBI:12194;vmhmetabolite/acgpail_hs;metanetx.chemical/MNXM999;sbo/SBO:0000247,C19H30NO18PR2,,c,MMRNM3134c,,C01288,C01288[c],,C01288,,CHEBI:12194,,SBO:0000247
N-acetyl-D-glucosaminylphosphatidylinositol[r],,N-acetyl-D-glucosaminylphosphatidylinositol,,bigg.metabolite/acgpail_hs;kegg.compound/C01288;chebi/CHEBI:12194;vmhmetabolite/acgpail_hs;metanetx.chemical/MNXM999;sbo/SBO:0000247,C19H30NO18PR2,,r,MMRNM3134r,,C01288,C01288[r],,C01288,,CHEBI:12194,,SBO:0000247
N-acetyl-D-mannosamine[c],,N-acetyl-D-mannosamine,,bigg.metabolite/acmana;kegg.compound/C00645;chebi/CHEBI:17122;pubchem.compound/439281;vmhmetabolite/acmana;metanetx.chemical/MNXM2403;sbo/SBO:0000247,C8H15NO6,,c,MMRNM3135c,,C00645,C00645[c],,C00645,439281,CHEBI:17122,,SBO:0000247
N-acetyl-D-mannosamine[r],,N-acetyl-D-mannosamine,,bigg.metabolite/acmana;kegg.compound/C00645;chebi/CHEBI:17122;pubchem.compound/439281;vmhmetabolite/acmana;metanetx.chemical/MNXM2403;sbo/SBO:0000247,C8H15NO6,,r,MMRNM3135r,,C00645,C00645[r],,C00645,439281,CHEBI:17122,,SBO:0000247
N-acetyl-D-mannosamine[s],,N-acetyl-D-mannosamine,,bigg.metabolite/acmana;kegg.compound/C00645;chebi/CHEBI:17122;pubchem.compound/439281;vmhmetabolite/acmana;metanetx.chemical/MNXM2403;sbo/SBO:0000247,C8H15NO6,,s,MMRNM3135s,,C00645,C00645[s],,C00645,439281,CHEBI:17122,,SBO:0000247
N-acetyl-L-alanine[c],,N-acetyl-L-alanine,,,C5H9NO3,,c,MMRNM3136c,,Cx1234,Cx1234[c],,,,,,
N-acetyl-L-alanine[m],,N-acetyl-L-alanine,,,C5H9NO3,,m,MMRNM3136m,,Cx1234,Cx1234[m],,,,,,
N-acetyl-L-asparagine[c],,N-acetyl-L-asparagine,,,C6H10N2O4,,c,MMRNM3137c,,Cx1235,Cx1235[c],,,,,,
N-acetyl-L-asparagine[m],,N-acetyl-L-asparagine,,,C6H10N2O4,,m,MMRNM3137m,,Cx1235,Cx1235[m],,,,,,
N-acetyl-L-aspartate[c],,N-acetyl-L-aspartate,,bigg.metabolite/Nacasp;kegg.compound/C01042;hmdb/HMDB00812;chebi/CHEBI:21547;pubchem.compound/65065;vmhmetabolite/Nacasp;metanetx.chemical/MNXM163864;sbo/SBO:0000247,C6H9NO5,,c,MMRNM3138c,,C01042,C01042[c],HMDB00812,C01042,65065,CHEBI:21547,,SBO:0000247
N-acetyl-L-aspartate[m],,N-acetyl-L-aspartate,,bigg.metabolite/Nacasp;kegg.compound/C01042;hmdb/HMDB00812;chebi/CHEBI:21547;pubchem.compound/65065;vmhmetabolite/Nacasp;metanetx.chemical/MNXM163864;sbo/SBO:0000247,C6H9NO5,,m,MMRNM3138m,,C01042,C01042[m],HMDB00812,C01042,65065,CHEBI:21547,,SBO:0000247
N-acetyl-L-cystathionine[m],,N-acetyl-L-cystathionine,,,C9H16N2O5S,,m,MMRNM3139m,,Cx1236,Cx1236[m],,,,,,
N-acetyl-L-cysteine[m],,N-acetyl-L-cysteine,,,C5H9NO3S,,m,MMRNM3140m,,Cx1237,Cx1237[m],,,,,,
N-acetyl-L-glutamate 5-semialdehyde[m],,N-acetyl-L-glutamate 5-semialdehyde,,bigg.metabolite/acg5sa;kegg.compound/C01250;hmdb/HMDB06488;chebi/CHEBI:16319;pubchem.compound/192878;vmhmetabolite/acg5sa;metanetx.chemical/MNXM1062;sbo/SBO:0000247,C7H11NO4,,m,MMRNM3141m,,C01250,C01250[m],HMDB06488,C01250,192878,CHEBI:16319,,SBO:0000247
N-acetyl-L-glutamate-5-phosphate[m],,N-acetyl-L-glutamate-5-phosphate,,bigg.metabolite/acg5p;kegg.compound/C04133;hmdb/HMDB06456;chebi/CHEBI:16878;pubchem.compound/440236;vmhmetabolite/acg5p;metanetx.chemical/MNXM1384;sbo/SBO:0000247,C7H12NO8P,,m,MMRNM3142m,,C04133,C04133[m],HMDB06456,C04133,440236,CHEBI:16878,,SBO:0000247
N-acetyl-L-glutamate[m],,N-acetyl-L-glutamate,,bigg.metabolite/acglu;kegg.compound/C00624;hmdb/HMDB01138;chebi/CHEBI:12575;pubchem.compound/185;vmhmetabolite/acglu;metanetx.chemical/MNXM730;sbo/SBO:0000247,C7H11NO5,,m,MMRNM3143m,,C00624,C00624[m],HMDB01138,C00624,185,CHEBI:12575,,SBO:0000247
N-acetyl-LTE4[c],,N-acetyl-LTE4,,,C25H39NO6S,,c,MMRNM3144c,,Cx1238,Cx1238[c],,,,,,
N-acetyl-LTE4[n],,N-acetyl-LTE4,,,C25H39NO6S,,n,MMRNM3144n,,Cx1238,Cx1238[n],,,,,,
N-acetyl-O-acetylneuraminate_[c],,N-acetyl-O-acetylneuraminate_,,kegg.compound/C03708;vmhmetabolite/M02545;metanetx.chemical/MNXM7565;sbo/SBO:0000247,,,c,MMRNM3145c,,C03708,C03708[c],,C03708,,,,SBO:0000247
N-acetyl-S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-L-cysteine[c],,N-acetyl-S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-L-cysteine,,,C11H15N3O5S,,c,MMRNM3146c,,Cx1239,Cx1239[c],,,,,,
N-acetyl-serotonin[c],,N-acetyl-serotonin,,bigg.metabolite/Nacsertn;kegg.compound/C00978;chebi/CHEBI:17697;pubchem.compound/903;vmhmetabolite/Nacsertn;metanetx.chemical/MNXM164995;metanetx.chemical/MNXM780;sbo/SBO:0000247,C12H14N2O2,,c,MMRNM3147c,,C00978,C00978[c],,C00978,903,CHEBI:17697,,SBO:0000247
N-acetyl-seryl-aspartate[c],,N-acetyl-seryl-aspartate,,,C9H14N2O7,,c,MMRNM3148c,,Cx1609,Cx1609[c],,,,,,
N-acetyl-seryl-aspartate[s],,N-acetyl-seryl-aspartate,,,C9H14N2O7,,s,MMRNM3148s,,Cx1609,Cx1609[s],,,,,,
N-acetyl-seryl-aspartyl-lysyl-proline[c],,N-acetyl-seryl-aspartyl-lysyl-proline,,,C20H33N5O9,,c,MMRNM3149c,,Cx1608,Cx1608[c],,,,,,
N-acetyl-seryl-aspartyl-lysyl-proline[s],,N-acetyl-seryl-aspartyl-lysyl-proline,,,C20H33N5O9,,s,MMRNM3149s,,Cx1608,Cx1608[s],,,,,,
N-Acetylaspartylglutamate[c],,N-Acetylaspartylglutamate,,,C11H16N2O8,,c,MMRNM3150c,,C12270,C12270[c],,,,,,
N-Acetylaspartylglutamylglutamate[c],,N-Acetylaspartylglutamylglutamate,,,C16H23N3O11,,c,MMRNM3151c,,C20776,C20776[c],,,,,,
N-acetylgalactosamine-1-phosphate[c],,N-acetylgalactosamine-1-phosphate,,,C8H16NO9P,,c,MMRNM3152c,,Cx1233,Cx1233[c],,,,,,
N-acetylgalactosamine[c],,N-acetylgalactosamine,,bigg.metabolite/acgal;kegg.compound/C01074;chebi/CHEBI:28800;pubchem.compound/35717;vmhmetabolite/acgal;metanetx.chemical/MNXM395;sbo/SBO:0000247,C8H15NO6,,c,MMRNM3153c,,C01074,C01074[c],,C01074,35717,CHEBI:28800,,SBO:0000247
N-acetylgalactosamine[g],,N-acetylgalactosamine,,bigg.metabolite/acgal;kegg.compound/C01074;chebi/CHEBI:28800;pubchem.compound/35717;vmhmetabolite/acgal;metanetx.chemical/MNXM395;sbo/SBO:0000247,C8H15NO6,,g,MMRNM3153g,,C01074,C01074[g],,C01074,35717,CHEBI:28800,,SBO:0000247
N-acetylgalactosamine[l],,N-acetylgalactosamine,,bigg.metabolite/acgal;kegg.compound/C01074;chebi/CHEBI:28800;pubchem.compound/35717;vmhmetabolite/acgal;metanetx.chemical/MNXM395;sbo/SBO:0000247,C8H15NO6,,l,MMRNM3153l,,C01074,C01074[l],,C01074,35717,CHEBI:28800,,SBO:0000247
N-acetylglucosamine-1-phosphate[c],,N-acetylglucosamine-1-phosphate,,bigg.metabolite/acgam1p;kegg.compound/C04256;chebi/CHEBI:7125;pubchem.compound/440272;vmhmetabolite/acgam1p;metanetx.chemical/MNXM91871;sbo/SBO:0000247,C8H16NO9P,,c,MMRNM3154c,,C04256,C04256[c],,C04256,440272,CHEBI:7125,,SBO:0000247
N-acetylglucosamine-6-phosphate[c],,N-acetylglucosamine-6-phosphate,,bigg.metabolite/acgam6p;kegg.compound/C00357;chebi/CHEBI:15784;pubchem.compound/440996;vmhmetabolite/acgam6p;metanetx.chemical/MNXM63556;sbo/SBO:0000247,C8H16NO9P,,c,MMRNM3155c,,C00357,C00357[c],,C00357,440996,CHEBI:15784,,SBO:0000247
N-acetylglucosamine[c],,N-acetylglucosamine,,bigg.metabolite/acgam;kegg.compound/C00140;hmdb/HMDB00215;chebi/CHEBI:506227;pubchem.compound/439174;vmhmetabolite/acgam;metanetx.chemical/MNXM143;sbo/SBO:0000247,C8H15NO6,,c,MMRNM3156c,,C00140,C00140[c],HMDB00215,C00140,439174,CHEBI:506227,,SBO:0000247
